Name,Occurrence
Jess,122
Jesse,665
Jessica,8
Jessie,998
Jesus,14
Jettie,15
Jewel,10
Jewell,5
Jhon,5
Jim,396
Jimmie,42
Jinnie,7
Joan,11
Joanna,15
Jobe,6
Jodie,8
Joe,754
Joel,54
Joella,5
Joeseph,6
Joesph,7
Johanna,74
Johannah,8
John,9597
Johnie,22
Johnnie,83
Johnny,16
Johnson,11
Jonah,5
Jonas,26
Jonathan,27
Jones,11
Jordan,12
Jose,95
Josefa,10
Joseph,2676
Josephine,638
Josephus,6
Josh,14
Joshua,50
Josiah,24
Josie,169
Josiephine,11
Jossie,6
Joyce,7
Juan,39
Juana,7
Juanita,25
Judge,20
Judith,8
Judson,23
Judy,5
Jule,9
Jules,13
Julia,816
Julian,41
Julie,22
Juliet,7
Juliette,9
Julious,7
Julius,168
June,34
Junie,5
Junior,9
Junious,9
Junius,23
Justina,6
Justus,9
Karl,40
Kate,293
Katharina,5
Katharine,82
Katherine,591
Katheryn,10
Kathleen,22
Kathrine,29
Kathryn,272
Kathryne,9
Kathyrn,7
Katie,327
Kattie,8
Katy,5
Kay,5
Kelley,5
Kelly,13
Kenneth,22
King,26
Kirby,6
Kirk,10
Kittie,40
Kitty,19
Kizzie,9
Lacy,11
Lafayette,20
Lamar,5
Lambert,9
Landon,6
Lane,6
Larkin,14
Larry,8
Laura,1156
Laurence,24
Lauretta,12
Laurie,5
Lavada,9
Lavenia,5
Lavina,26
Lavinia,18
Lawrence,287
Lawson,21
Lawyer,6
Lazarus,5
Lea,6
Leah,56
Leander,28
Leaner,6
Leanna,10
Leatha,5
Leda,5
Lee,470
Leigh,5
Leila,83
Lela,143
Lelah,11
Leland,13
Lelia,95
Lem,25
Lemma,6
Lemon,7
Lemuel,43
Len,9
Lena,697
Lenard,12
Lenna,14
Lennie,26
Lenora,70
Lenore,19
Lenzy,5
Leo,146
Leola,47
Leon,131
Leona,163
Leonard,231
Leonce,5
Leone,11
Leonia,6
Leonidas,6
Leonora,19
Leora,29
Leota,21
Leroy,152
Lesley,6
Leslie,131
Lessie,25
Lester,134
Leta,15
Letha,40
Letitia,19
Letta,7
Lettie,68
Leverett,5
Levi,105
Levina,7
Levy,9
Lew,16
Lewie,5
Lewis,441
Libbie,15
Lida,73
Liddie,16
Lige,22
Lila,65
Lilian,24
Lilla,44
Lillian,836
Lillie,810
Lilly,70
Lily,63
Lina,41
Lincoln,13
Linda,36
Lindsay,9
Lindsey,8
Linn,6
Linnie,41
Linus,10
Lionel,5
Lisette,5
Lissie,14
Littie,5
Littleton,6
Liza,16
Lizzie,495
Llewellyn,11
Lloyd,121
Loda,5
Logan,17
Lois,64
Lola,174
Lollie,7
Loma,10
Lon,52
Lona,33
Lone,6
Lonie,9
Lonnie,91
Lonzo,10
Lora,62
Loran,5
Loren,35
Lorena,34
Lorenz,5
Lorenza,5
Lorenzo,41
Loretta,72
Loretto,7
Lorraine,6
Lota,6
Lott,5
Lotta,21
Lottie,319
Lou,141
Louella,51
Louetta,5
Louie,65
Louis,858
Louisa,128
Louise,820
Loula,12
Louvenia,5
Love,5
Lovie,11
Lowell,10
Loyal,5
Loyd,16
Lucetta,6
Lucia,20
Lucian,21
Lucie,22
Lucien,15
Lucile,58
Lucille,85
Lucinda,93
Lucindy,7
Lucious,17
Lucius,42
Lucretia,65
Lucy,673
Luda,5
Ludie,21
Ludwig,6
Lue,35
Luella,117
Luetta,9
Luis,13
Luisa,8
Luke,44
Lula,780
Lular,5
Lulu,279
Lum,12
Lura,47
Luster,5
Luther,284
Lutie,14
Luvenia,15
Lyda,38
Lydia,342
Lyle,12
Lyman,41
Lynda,5
Lynn,27
Mabel,997
Mabelle,40
Mable,125
Macie,6
Mack,145
Madeline,29
Madge,41
Madie,11
Madison,27
Mae,406
Magdalen,7
Magdalena,33
Magdalene,12
Maggie,627
Magnolia,7
Mahala,25
Mahalie,6
Mahlon,12
Major,44
Malachi,8
Malcolm,20
Malcom,5
Malinda,43
Malissa,7
Mallie,12
Malvina,13
Mame,12
Mamie,508
Mance,5
Manda,11
Mandy,41
Manford,7
Manie,7
Manley,11
Mannie,7
Manning,7
Manuel,92
Manuela,8
Marcella,21
Marcellus,6
Marcia,10
Marcus,46
Margaret,1828
Margarett,5
Margaretta,6
Margarito,6
Margeret,5
Margery,12
Marget,5
Margie,21
Margret,39
Marguerite,52
Maria,121
Mariah,22
Mariam,5
Marian,47
Marie,591
Marietta,17
Marilla,7
Marinda,10
Marion,298
Marius,5
Marjorie,40
Mark,90
Marry,6
Marsh,7
Marshal,7
